0, 万州
1, 三亚
2, 上海
3, 东营
4, 中卫
5, 临沂
6, 临沧
7, 丹东
8, 丽江
9, 义乌
10, 乌兰浩特
11, 乌海
12, 乌鲁木齐
13, 二连浩特
14, 井冈山
15, 伊宁
16, 伊春
17, 佛山
18, 佳木斯
19, 保山
20, 克拉玛依
21, 兰州
22, 兴义
23, 凯里
24, 加格达奇
25, 包头
26, 北京
27, 北海
28, 南京
29, 南充
30, 南宁
31, 南昌
32, 南通
33, 南阳
34, 厦门
35, 台州
36, 合肥
37, 吐鲁番
38, 吕梁
39, 呼和浩特
40, 和田
41, 哈密
42, 哈尔滨
43, 唐山
44, 喀什
45, 嘉峪关
46, 固原
47, 塔城
48, 夏河
49, 大同
50, 大庆
51, 大理
52, 大连
53, 天水
54, 天津
55, 太原
56, 威海
57, 宁波
58, 安庆
59, 安顺
60, 宜宾
61, 宜昌
62, 宜春
63, 富蕴
64, 巴彦淖尔
65, 常州
66, 常德
67, 广元
68, 广州
69, 庆阳
70, 库尔勒
71, 库车
72, 康定
73, 延吉
74, 延安
75, 张家口
76, 张家界
77, 张掖
78, 徐州
79, 恩施
80, 惠州
81, 成都
82, 扬州
83, 拉萨
84, 揭阳
85, 攀枝花
86, 敦煌
87, 无锡
88, 日喀则
89, 昆明
90, 昌都
91, 昭通
92, 普洱
93, 景德镇
94, 朝阳
95, 杭州
96, 林芝
97, 柳州
98, 格尔木
99, 桂林
100, 梅县
101, 梧州
102, 榆林
103, 武夷山
104, 武汉
105, 毕节
106, 永州
107, 汉中
108, 池州
109, 沈阳
110, 泸州
111, 洛阳
112, 济南
113, 济宁
114, 海口
115, 海拉尔
116, 淮安
117, 深圳
118, 温州
119, 湛江
120, 满洲里
121, 漠河
122, 潍坊
123, 烟台
124, 牡丹江
125, 玉树
126, 珠海
127, 百色
128, 盐城
129, 石家庄
130, 福州
131, 稻城
132, 绵阳
133, 腾冲
134, 舟山
135, 芒市
136, 芷江
137, 荔波
138, 衡阳
139, 衢州
140, 襄阳(中国)
141, 西双版纳
142, 西宁
143, 西安
144, 西昌
145, 贵阳
146, 赣州
147, 赤峰
148, 达州
149, 运城
150, 连云港
151, 连城
152, 通化
153, 通辽
154, 遵义
155, 那拉提
156, 邯郸
157, 郑州
158, 鄂尔多斯
159, 重庆
160, 金昌
161, 铜仁
162, 银川
163, 锡林浩特
164, 锦州
165, 长春
166, 长沙
167, 长治
168, 长白山
169, 阜阳
170, 阿克苏
171, 阿勒泰
172, 阿尔山
173, 阿拉善左旗
174, 阿里
175, 青岛
176, 鞍山
177, 额济纳旗
178, 香格里拉
179, 鸡西
180, 黄山
181, 黎平
182, 黑河
183, 黔江
184, 齐齐哈尔
